stars;forks;commits;branches;pull requests all;pull requests open;pull requests closed;contributors;watchers;issues;topics;license name;;
0;0;11;3;1;0;1;1;0;0;lecture-slides lecture-material;No License;;
2;0;112;1;0;0;0;2;2;0;university-course;No License;;
12;2;70;1;0;0;0;1;12;0;course-materials;MIT License;;
10;12;39;1;1;0;1;2;10;0;educational-materials;No License;;
1;2;51;2;1;0;1;1;1;0;teaching-materials;Apache License 2.0;;
72;87;84;1;3;1;2;3;72;4;educational-materials;No License;;
0;1;3;2;1;1;0;1;0;1;course-material;GNU General Public License v3.0;;
0;0;19;2;1;0;1;2;0;1;teaching-materials;The Unlicense;;
738;361;257;1;0;0;0;1;738;0;mooc;No License;;
210;123;189;1;0;0;0;1;210;1;mooc;No License;;
2856;1317;309;1;8;0;8;2;2856;0;mooc;No License;;
1524;712;168;1;2;0;2;1;1524;1;mooc;No License;;
877;499;202;1;0;0;0;1;877;0;mooc;No License;;
4;2;3;1;0;0;0;1;4;0;course-materials;No License;;
2;4;14;1;0;0;0;1;1;0;course-materials;No License;;
41;13;535;1;1;0;1;2;41;0;self-learning;"BSD 3-Clause ""New"" or ""Revised"" License";;
3971;1186;1263;8;270;3;267;62;3971;42;course-materials mooc;The Unlicense;;
10;10;29;1;0;0;0;2;10;1;workshop-materials;No License;;
4;6;11;1;0;0;0;1;4;0;course-materials;Other;No License description;
1;3;37;2;13;3;10;3;1;3;presentation-materials;No License;;
2;0;16;1;0;0;0;1;2;0;presentation-slides;GNU General Public License v3.0;;
1;2;224;3;3;0;3;1;1;0;presentation-slides;No License;;
9;2;19;1;0;0;0;1;9;0;presentation-materials;No License;;
2;0;10;1;0;0;0;1;2;0;presentation-materials presentation-slides;MIT License;;
10;1;9;1;0;0;0;1;10;0;presentation-slides;Other;No License description;
21;4;53;3;2;0;2;1;21;1;textbook;No License;;
0;0;11;1;0;0;0;1;0;0;educational-materials;No License;;
0;0;24;1;0;0;0;1;0;0;lecture;MIT License;;
11;10;1241;2;1;0;1;20;11;1;textbook;Other;No License description;
3;0;46;1;0;0;0;3;3;1;course-materials;Other;No License description;
6;26;244;1;18;0;18;18;6;0;educational-materials;No License;;
1;0;12;1;0;0;0;1;1;0;lecture-material;MIT License;;
0;0;125;1;0;0;0;1;0;0;university-course;No License;;
1;0;19;1;0;0;0;1;1;0;workshop-materials;No License;;
17;8;394;8;1;0;1;1;17;5;training-materials;Other;No License description;
4;10;106;1;28;0;28;6;4;2;educational-resources;Mozilla Public License 2.0;;
0;2;16;1;6;0;6;2;0;1;training-materials;No License;;
0;0;12;1;0;0;0;1;0;0;oer educational-materials;MIT License;;
21;21;74;1;0;0;0;1;21;0;training-materials;MIT License;;
1;1;63;1;0;0;0;1;1;0;training-materials;No License;;
8;71;10;1;42;0;42;3;8;0;course-materials;No License;;
0;0;19;1;0;0;0;1;0;0;teaching-materials;No License;;
0;0;47;1;0;0;0;1;0;0;workshop-materials;No License;;
2;2;3;2;2;0;2;1;2;0;training-materials;MIT License;;
463;168;147;1;16;0;16;1;463;0;workshop-materials;No License;;
3;0;40;1;0;0;0;1;3;0;educational-materials;No License;;
3;1;46;1;3;0;3;3;3;0;educational-materials;No License;;
1;0;5;1;0;0;0;1;1;0;textbook;Creative Commons Zero v1.0 Universal;;
4;4;40;1;0;0;0;1;4;1;lecture-slides;No License;;
38;15;156;2;21;1;20;2;38;10;lecture-videos;Apache License 2.0;;
9;10;80;3;39;2;37;1;9;25;lecture-slides;Apache License 2.0;;
0;1;4;1;0;0;0;1;0;0;training-materials;No License;;
2;2;3;1;0;0;0;1;2;0;training-materials;No License;;
1;2;3;1;0;0;0;1;1;0;training-materials;No License;;
3;10;42;1;0;0;0;1;3;0;teaching-materials;No License;;
0;0;58;1;0;0;0;1;0;0;presentation-materials;No License;;
1;0;14;1;0;0;0;1;1;0;training-materials;MIT License;;
1;0;9;1;0;0;0;1;1;0;lecture;No License;;
9;2;251;1;0;0;0;6;9;0;training-materials;Other;No License description;
0;0;8;1;0;0;0;1;0;0;teaching-materials;No License;;
0;2;11;1;0;0;0;1;0;0;university-course;MIT License;;
1;0;45;3;0;0;0;1;1;0;presentation-slides;No License;;
1;2;3;1;0;0;0;1;1;0;lecture-slides;No License;;
